,Title,published_date,Views,Likes,FavoriteCount,comments,Month
74,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3631,202,0,46,Nov
75,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,13574,302,0,39,Oct
76,ML Ops: What is it REALLY?,2021-10-22,7053,285,0,66,Oct
77,Business Skills for Data Science: What are they REALLY?,2021-10-18,6860,302,0,50,Oct
78,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2208,124,0,5,Oct
79,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5946,283,0,64,Oct
80,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,12901,529,0,110,Aug
81,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10237,435,0,32,Aug
82,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,41529,1611,0,32,Aug
83,How I Learned to Learn.,2021-07-31,50880,2368,0,209,Jul
84,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,10801,596,0,50,Jul
85,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2426,93,0,30,Jul
86,Why are APIs Important for Data Science?,2021-07-09,10052,456,0,95,Jul
87,Is Your Phone REALLY Listening to You?,2021-07-03,5200,279,0,116,Jul
88,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,15708,611,0,123,Jun
89,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4101,224,0,41,Jun
90,#66DaysOfData - What is it? #shorts,2021-06-11,9255,397,0,54,Jun
91,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16703,1021,0,89,Jun
92,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7475,393,0,195,May
93,How Data Science Projects Pay Off,2021-05-22,10785,602,0,146,May
94,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10647,491,0,134,May
95,What is a lambda function (python)? #shorts,2021-05-13,15533,958,0,49,May
